CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MIDV
0.0,95.0,2.7,0,0.4,7.9,33.2,5.1,4,224.0,14.7,392.8,3.8,48.5
0.5,0.0,6.2,0,0.5,8.7,83.0,2.9,8,307.0,17.4,382.0,4.6,50.0
0.0,0.0,5.2,0,0.5,5.9,46.3,5.2,5,224.0,20.2,396.9,9.8,19.5
0.1,40.0,6.4,0,0.4,6.9,42.8,4.3,4,254.0,17.6,396.9,3.0,32.0
0.9,0.0,8.1,0,0.5,6.0,89.2,4.0,4,307.0,21.0,392.5,13.8,19.6
0.2,0.0,6.9,0,0.4,6.2,6.5,5.7,3,233.0,17.9,394.5,7.4,24.7
0.0,80.0,2.0,0,0.4,6.6,29.7,8.3,4,280.0,17.0,390.9,6.0,24.5
0.0,95.0,2.7,0,0.4,8.0,31.9,5.1,4,224.0,14.7,390.6,2.9,50.0
0.2,0.0,9.7,0,0.6,6.0,79.7,2.5,6,391.0,19.2,396.9,14.3,16.8
0.2,0.0,6.9,0,0.4,5.8,33.3,5.1,3,233.0,17.9,396.9,14.2,20.0
12.0,0.0,18.1,0,0.6,5.6,87.6,2.0,24,666.0,20.2,291.6,14.1,20.8
2.0,0.0,19.6,0,0.6,7.9,96.2,2.0,5,403.0,14.7,369.3,3.7,50.0
0.1,45.0,3.4,0,0.4,7.2,38.9,4.6,5,398.0,15.2,396.9,5.4,34.9
4.8,0.0,18.1,0,0.7,6.7,90.0,2.6,24,666.0,20.2,255.2,16.4,16.4
0.0,0.0,4.4,0,0.4,6.0,48.5,8.0,3,352.0,18.8,385.6,10.5,17.5
0.2,0.0,8.6,0,0.5,6.1,87.4,2.7,5,384.0,20.9,394.5,13.4,19.3
0.0,0.0,3.4,0,0.5,6.4,66.1,3.1,2,270.0,17.8,392.2,8.8,22.6
0.1,0.0,2.5,0,0.5,6.2,68.8,3.3,3,193.0,17.8,387.1,13.2,29.6
0.8,0.0,8.1,0,0.5,5.5,36.6,3.8,4,307.0,21.0,289.0,11.7,20.2
5.3,0.0,18.1,0,0.7,6.1,82.5,2.2,24,666.0,20.2,378.4,18.8,23.2
0.2,0.0,10.6,0,0.5,6.3,52.5,4.4,4,277.0,18.6,394.9,11.0,24.4
0.1,34.0,6.1,0,0.4,6.5,18.4,5.5,7,329.0,16.1,383.6,8.7,26.4
0.0,0.0,2.2,0,0.5,6.4,58.7,6.1,3,222.0,18.7,394.1,5.2,28.7
0.0,80.0,1.9,0,0.4,5.7,21.9,10.6,4,334.0,22.0,382.8,8.1,18.2
0.0,28.0,15.0,0,0.5,6.2,28.9,3.7,4,270.0,18.2,396.3,6.2,25.0
89.0,0.0,18.1,0,0.7,7.0,91.9,1.4,24,666.0,20.2,396.9,17.2,10.4
0.1,0.0,4.0,0,0.5,6.3,73.4,3.3,5,296.0,16.6,395.6,6.3,24.6
0.0,25.0,4.9,0,0.4,6.7,33.5,5.4,4,281.0,19.0,396.9,5.3,28.0
1.0,0.0,8.1,0,0.5,6.7,87.3,4.2,4,307.0,21.0,380.2,12.0,21.0
0.7,20.0,4.0,0,0.6,6.8,100.0,2.0,5,264.0,13.0,391.9,6.9,30.1
0.1,0.0,10.8,0,0.4,6.1,7.8,5.3,4,305.0,19.2,390.9,5.5,22.8
0.0,0.0,5.2,0,0.5,6.1,37.3,4.8,5,224.0,20.2,396.1,8.5,20.6
0.1,0.0,4.0,0,0.5,5.9,68.7,2.7,5,296.0,16.6,393.2,9.6,22.6
8.8,0.0,18.1,0,0.6,5.6,70.6,2.1,24,666.0,20.2,3.6,17.2,11.7
6.4,0.0,18.1,0,0.6,6.2,97.4,2.2,24,666.0,20.2,302.8,24.1,13.3
0.9,0.0,21.9,0,0.6,5.6,94.7,2.0,4,437.0,21.2,396.9,18.3,14.3
0.1,0.0,4.0,0,0.5,6.9,74.4,2.9,5,296.0,16.6,391.3,6.9,29.9
0.6,0.0,21.9,0,0.6,6.3,98.2,2.1,4,437.0,21.2,394.7,17.0,18.1
0.3,0.0,21.9,0,0.6,6.5,98.9,2.1,4,437.0,21.2,395.0,12.6,19.2
9.6,0.0,18.1,0,0.7,6.4,100.0,1.6,24,666.0,20.2,376.1,20.3,12.1
0.1,0.0,4.5,0,0.4,6.1,56.8,3.7,3,247.0,18.5,395.1,8.4,22.2
1.2,0.0,8.1,0,0.5,6.1,91.7,4.0,4,307.0,21.0,396.9,18.7,15.2
0.2,0.0,9.7,0,0.6,5.7,54.0,2.4,6,391.0,19.2,396.9,12.0,21.8
0.1,25.0,5.1,0,0.5,5.7,66.2,7.2,8,284.0,19.7,395.1,13.2,18.7
0.2,0.0,10.8,0,0.4,6.2,6.2,5.3,4,305.0,19.2,377.2,7.5,23.4
0.4,0.0,6.2,1,0.5,6.7,66.5,3.7,8,307.0,17.4,360.2,8.1,29.0
0.1,70.0,2.2,0,0.4,7.0,10.0,7.8,5,358.0,14.8,371.6,4.7,29.0
0.6,0.0,6.2,1,0.5,6.9,77.7,3.3,8,307.0,17.4,390.4,9.9,27.5
0.0,95.0,1.5,0,0.4,7.0,15.3,7.7,3,402.0,17.0,396.9,4.6,34.9
0.0,35.0,1.5,0,0.4,7.2,49.3,7.0,1,284.0,15.5,394.7,5.5,32.7
0.1,0.0,13.9,1,0.6,6.0,93.8,2.9,5,276.0,16.4,396.9,17.9,21.5
5.7,0.0,18.1,0,0.6,6.1,79.8,3.5,24,666.0,20.2,392.7,15.0,19.1
7.0,0.0,18.1,0,0.7,5.7,97.0,1.9,24,666.0,20.2,394.4,17.1,15.1
10.8,0.0,18.1,0,0.7,6.8,90.8,1.8,24,666.0,20.2,21.6,25.8,7.5
7.5,0.0,18.1,0,0.7,6.4,98.3,2.2,24,666.0,20.2,304.2,19.3,13.0
0.2,20.0,7.0,1,0.5,7.7,51.8,4.4,3,223.0,18.6,390.8,6.6,35.2
0.0,90.0,1.2,0,0.4,7.2,21.9,8.7,5,226.0,17.9,395.9,4.8,35.4
0.3,20.0,7.0,0,0.5,5.9,42.1,4.4,3,223.0,18.6,388.6,13.0,21.1
10.2,0.0,18.1,0,0.6,6.2,96.7,2.2,24,666.0,20.2,379.7,18.0,14.6
0.0,35.0,6.1,0,0.4,6.0,23.3,6.6,1,304.0,16.9,362.2,7.8,19.4
9.2,0.0,18.1,0,0.7,5.5,100.0,1.6,24,666.0,20.2,396.9,23.6,11.3
0.1,0.0,4.0,0,0.5,6.0,47.2,3.6,5,296.0,16.6,393.2,10.1,23.2
0.1,0.0,3.4,0,0.5,7.1,63.1,3.4,2,270.0,17.8,396.1,5.7,28.7
0.1,0.0,12.8,0,0.4,6.1,45.8,4.1,5,398.0,18.7,387.0,10.3,20.8
14.4,0.0,18.1,0,0.7,6.5,93.3,2.0,24,666.0,20.2,27.5,18.1,9.6
0.1,0.0,2.9,0,0.4,7.8,36.9,3.5,2,276.0,18.0,393.5,3.6,43.8
7.4,0.0,18.1,0,0.6,5.6,97.9,1.5,24,666.0,20.2,314.6,26.4,17.2
3.6,0.0,18.1,0,0.6,6.4,75.0,2.9,24,666.0,20.2,393.4,14.4,23.2
2.3,0.0,19.6,0,0.9,5.2,93.8,1.5,5,403.0,14.7,357.0,28.3,17.8
0.1,21.0,5.6,0,0.4,6.0,45.7,6.8,4,243.0,16.8,395.6,13.4,19.7
0.0,90.0,3.0,0,0.4,7.1,20.8,7.3,1,285.0,15.3,394.7,7.8,32.2
9.7,0.0,18.1,0,0.7,6.4,97.2,2.1,24,666.0,20.2,386.0,19.5,17.1
0.2,0.0,7.4,0,0.5,6.4,54.3,4.5,5,287.0,19.6,396.9,6.9,23.1
4.8,0.0,18.1,0,0.6,5.9,53.2,3.2,24,666.0,20.2,388.2,11.4,20.6
0.2,20.0,7.0,0,0.5,6.2,16.3,4.4,3,223.0,18.6,396.9,6.6,25.2
13.7,0.0,18.1,0,0.7,5.9,87.9,1.8,24,666.0,20.2,69.0,34.0,8.4
2.8,0.0,18.1,0,0.5,5.8,40.3,4.1,24,666.0,20.2,392.9,10.4,21.8
0.1,0.0,2.5,0,0.5,6.1,62.2,2.6,3,193.0,17.8,396.9,9.4,36.2
0.4,22.0,5.9,0,0.4,8.3,8.4,8.9,7,330.0,19.1,396.9,3.5,42.8
0.1,30.0,4.9,0,0.4,6.1,65.1,6.3,6,300.0,16.6,394.6,12.4,20.1
0.2,0.0,8.6,0,0.5,5.8,91.9,2.2,5,384.0,20.9,395.7,18.7,19.5
0.0,80.0,3.4,0,0.4,6.3,17.8,6.6,4,337.0,16.1,396.9,4.7,23.5
0.2,22.0,5.9,0,0.4,6.2,79.2,8.1,7,330.0,19.1,376.1,10.2,20.5
0.0,60.0,2.9,0,0.4,6.6,18.8,6.2,1,265.0,15.6,376.7,4.4,29.1
0.1,0.0,2.5,0,0.5,7.8,53.6,3.2,3,193.0,17.8,392.6,4.5,50.0
9.8,0.0,18.1,0,0.7,6.8,98.8,1.4,24,666.0,20.2,396.9,21.2,13.3
0.1,0.0,12.8,0,0.4,6.3,45.0,4.5,5,398.0,18.7,383.2,8.9,21.4
0.4,0.0,7.4,0,0.5,6.0,49.9,4.7,5,287.0,19.6,396.9,7.7,20.4
38.4,0.0,18.1,0,0.7,5.5,100.0,1.5,24,666.0,20.2,396.9,30.6,5.0
1.4,0.0,19.6,0,0.9,6.5,100.0,1.8,5,403.0,14.7,364.3,7.4,23.3
3.7,0.0,18.1,0,0.8,5.4,96.2,2.1,24,666.0,20.2,380.8,10.2,20.8
0.2,22.0,5.9,0,0.4,5.6,76.5,8.0,7,330.0,19.1,372.5,12.5,17.6
0.0,100.0,1.3,0,0.4,6.8,40.5,8.3,5,256.0,15.1,392.9,4.0,31.6
18.5,0.0,18.1,0,0.7,4.1,100.0,1.1,24,666.0,20.2,396.9,38.0,13.8
0.2,0.0,7.4,0,0.5,6.4,52.3,4.5,5,287.0,19.6,396.9,7.2,23.8
2.6,0.0,9.9,0,0.5,5.0,37.8,2.5,4,304.0,18.4,350.4,12.6,16.1
0.1,0.0,3.2,0,0.5,6.3,17.2,5.2,4,430.0,16.9,375.2,7.3,22.6
2.4,0.0,19.6,0,0.9,5.3,94.0,1.7,5,403.0,14.7,88.6,16.1,13.1
0.2,0.0,9.7,0,0.6,5.7,28.8,2.8,6,391.0,19.2,393.3,17.6,23.1
8.1,0.0,18.1,0,0.6,5.4,95.4,2.4,24,666.0,20.2,352.6,18.1,13.8
0.0,55.0,3.8,0,0.5,6.7,56.4,5.7,5,370.0,17.6,396.9,7.2,23.9
0.7,0.0,8.1,0,0.5,5.7,69.5,3.8,4,307.0,21.0,390.9,11.3,18.2
0.8,20.0,4.0,0,0.6,5.6,62.8,2.0,5,264.0,13.0,392.4,10.4,22.8
0.1,0.0,12.8,0,0.4,6.3,74.5,4.1,5,398.0,18.7,373.7,12.0,20.0
4.8,0.0,18.1,0,0.7,6.5,86.5,2.4,24,666.0,20.2,50.9,18.1,14.1
5.2,0.0,18.1,1,0.8,6.1,83.4,2.7,24,666.0,20.2,395.4,11.5,22.7
0.5,20.0,4.0,0,0.6,7.2,81.8,2.1,5,264.0,13.0,392.8,9.6,33.8
0.3,0.0,9.7,0,0.6,5.8,70.6,2.9,6,391.0,19.2,396.9,14.1,18.3
15.6,0.0,18.1,0,0.6,5.9,71.0,2.9,24,666.0,20.2,368.7,18.1,19.1
8.7,0.0,18.1,0,0.7,6.5,98.8,1.7,24,666.0,20.2,392.0,17.1,13.1
14.3,0.0,18.1,0,0.7,4.9,100.0,1.6,24,666.0,20.2,372.9,30.6,10.2
0.1,0.0,4.0,0,0.5,6.4,84.1,2.6,5,296.0,16.6,395.5,9.0,23.6
0.6,0.0,6.2,0,0.5,8.3,73.3,3.8,8,307.0,17.4,385.9,2.5,41.7
18.8,0.0,18.1,0,0.6,4.6,100.0,1.6,24,666.0,20.2,28.8,34.4,17.9
0.3,0.0,10.6,0,0.5,5.4,9.8,3.6,4,277.0,18.6,348.9,29.6,23.7
5.7,0.0,18.1,1,0.6,6.7,96.8,1.4,24,666.0,20.2,375.3,3.7,50.0
73.5,0.0,18.1,0,0.7,6.0,100.0,1.8,24,666.0,20.2,16.4,20.6,8.8
25.0,0.0,18.1,0,0.7,6.0,100.0,1.6,24,666.0,20.2,396.9,26.8,5.6
7.8,0.0,18.1,0,0.7,6.2,65.4,3.0,24,666.0,20.2,396.9,13.2,21.4
0.5,0.0,6.2,0,0.5,6.0,68.1,3.7,8,307.0,17.4,378.4,11.7,24.3
0.7,20.0,4.0,0,0.6,7.3,100.0,1.9,5,264.0,13.0,383.3,7.8,36.0
0.2,25.0,5.1,0,0.5,6.1,29.2,7.8,8,284.0,19.7,390.7,6.9,23.3
4.9,0.0,18.1,0,0.6,6.5,93.6,2.3,24,666.0,20.2,396.2,18.7,16.7
9.4,0.0,18.1,0,0.7,5.6,93.9,1.8,24,666.0,20.2,396.9,22.9,12.8
0.0,85.0,0.7,0,0.4,6.4,35.7,9.2,2,313.0,17.3,396.9,5.8,24.7
67.9,0.0,18.1,0,0.7,5.7,100.0,1.4,24,666.0,20.2,385.0,23.0,5.0
0.5,0.0,9.9,0,0.5,6.1,58.8,4.0,4,304.0,18.4,396.2,12.7,21.0
2.2,0.0,19.6,0,0.9,5.6,100.0,1.5,5,403.0,14.7,169.3,16.6,15.6
0.1,40.0,6.4,0,0.4,6.5,32.1,4.1,4,254.0,17.6,396.9,7.2,29.1
0.2,0.0,10.0,0,0.5,5.9,88.2,2.5,6,432.0,17.8,344.9,15.8,18.3
4.0,0.0,18.1,0,0.5,6.2,90.7,3.1,24,666.0,20.2,395.3,12.9,19.6
10.1,0.0,18.1,0,0.6,6.8,94.3,2.1,24,666.0,20.2,81.3,19.7,14.1
0.2,0.0,6.9,0,0.4,6.0,85.5,5.7,3,233.0,17.9,392.7,18.8,16.6
2.3,0.0,19.6,0,0.6,5.9,97.3,2.4,5,403.0,14.7,348.1,12.0,19.1
1.0,0.0,8.1,0,0.5,5.8,100.0,4.1,4,307.0,21.0,394.5,19.9,14.5
14.3,0.0,18.1,0,0.6,6.2,88.0,2.0,24,666.0,20.2,383.3,13.1,21.4
0.1,0.0,11.9,0,0.6,7.0,91.0,2.2,1,273.0,21.0,396.9,5.6,23.9
3.8,0.0,18.1,1,0.8,6.4,91.0,2.5,24,666.0,20.2,391.3,13.3,21.7
0.0,55.0,2.2,0,0.4,6.5,31.9,7.3,1,300.0,15.3,394.7,8.2,22.0
0.1,30.0,4.9,0,0.4,6.4,52.9,7.0,6,300.0,16.6,372.8,11.2,22.2
0.0,85.0,4.2,0,0.4,6.5,27.7,8.5,4,351.0,17.9,392.4,6.4,23.1
5.7,0.0,18.1,0,0.5,6.8,74.9,3.3,24,666.0,20.2,393.1,7.7,23.7
9.9,0.0,18.1,0,0.7,6.3,96.6,2.2,24,666.0,20.2,388.5,16.4,12.6
0.2,0.0,10.0,0,0.5,6.1,95.4,2.5,6,432.0,17.8,396.9,17.1,18.7
0.4,0.0,6.2,1,0.5,6.2,91.3,3.0,8,307.0,17.4,395.2,21.5,21.7
0.1,60.0,1.7,0,0.4,6.6,35.9,10.7,4,411.0,18.3,370.8,5.5,24.1
4.5,0.0,18.1,0,0.8,6.4,88.0,2.5,24,666.0,20.2,374.6,7.8,25.0
0.0,52.5,5.3,0,0.4,6.2,31.3,7.3,6,293.0,16.6,396.9,7.1,23.2
0.1,80.0,5.0,0,0.4,7.1,27.7,5.1,4,245.0,19.2,396.9,3.6,37.3
0.1,0.0,10.0,0,0.5,6.3,84.2,2.3,6,432.0,17.8,388.7,10.4,18.5
11.1,0.0,18.1,0,0.7,6.4,100.0,1.9,24,666.0,20.2,318.8,15.0,16.7
0.1,12.5,7.9,0,0.5,5.9,39.0,5.5,5,311.0,15.2,390.5,15.7,21.7
0.3,0.0,7.4,0,0.5,5.7,74.3,4.7,5,287.0,19.6,391.1,11.7,18.5
0.2,0.0,25.6,0,0.6,6.0,88.4,2.0,2,188.0,19.1,385.0,14.8,21.4
14.1,0.0,18.1,0,0.6,6.7,100.0,1.5,24,666.0,20.2,35.0,21.2,17.2
0.8,0.0,8.1,0,0.5,6.5,94.4,4.5,4,307.0,21.0,387.9,12.8,18.4
14.4,0.0,18.1,0,0.6,6.9,100.0,1.5,24,666.0,20.2,179.4,19.8,27.5
4.2,0.0,18.1,1,0.8,5.8,89.0,1.9,24,666.0,20.2,353.0,14.6,16.8
0.2,0.0,10.0,0,0.5,6.0,82.6,2.7,6,432.0,17.8,394.5,10.3,19.2
0.1,0.0,3.2,0,0.5,5.9,25.8,5.2,4,430.0,16.9,382.4,10.0,19.3
2.1,0.0,19.6,0,0.9,5.7,98.5,1.6,5,403.0,14.7,261.9,15.8,19.4
0.7,0.0,8.1,0,0.5,5.8,90.3,4.7,4,307.0,21.0,376.9,14.8,16.6
9.3,0.0,18.1,0,0.7,6.2,98.7,2.3,24,666.0,20.2,396.9,18.1,14.1
6.4,0.0,18.1,0,0.6,6.4,74.8,2.2,24,666.0,20.2,98.0,12.0,16.1
0.4,0.0,9.9,0,0.5,6.6,87.3,3.6,4,304.0,18.4,395.7,9.3,23.8
4.1,0.0,19.6,0,0.9,5.5,100.0,1.4,5,403.0,14.7,396.9,26.4,15.6
1.4,0.0,19.6,1,0.9,6.1,96.0,1.7,5,403.0,14.7,321.0,15.1,17.0
0.2,0.0,27.7,0,0.6,5.4,98.3,1.8,4,711.0,20.1,344.1,24.0,7.0
0.1,0.0,5.2,0,0.5,6.0,58.5,4.8,5,224.0,20.2,396.9,9.3,18.7
0.1,30.0,4.9,0,0.4,6.9,54.3,6.3,6,300.0,16.6,391.2,11.4,22.0
0.0,80.0,5.0,0,0.4,6.6,23.4,5.1,4,245.0,19.2,396.9,4.7,27.9
0.1,0.0,3.4,0,0.5,7.0,86.3,3.4,2,270.0,17.8,396.9,5.5,23.6
0.6,0.0,21.9,0,0.6,6.4,97.9,2.3,4,437.0,21.2,385.8,11.1,23.0
0.0,80.0,5.0,0,0.4,6.9,27.9,5.1,4,245.0,19.2,396.9,3.3,28.5
0.0,40.0,1.2,0,0.4,6.9,34.5,8.8,1,335.0,19.7,389.9,5.9,26.6
0.1,60.0,1.7,0,0.4,5.9,18.5,10.7,4,411.0,18.3,392.3,7.8,18.6
0.0,25.0,4.9,0,0.4,6.3,32.2,5.4,4,281.0,19.0,396.9,6.7,24.8
0.0,28.0,15.0,0,0.5,6.2,77.3,3.6,4,270.0,18.2,396.9,10.6,20.6
0.1,80.0,1.9,0,0.4,5.9,19.5,10.6,4,334.0,22.0,376.0,5.6,20.6
0.1,0.0,10.6,0,0.5,5.9,22.3,3.9,4,277.0,18.6,396.9,10.9,22.6
0.2,0.0,25.6,0,0.6,5.9,97.0,1.9,2,188.0,19.1,370.3,25.4,17.3
20.1,0.0,18.1,0,0.7,4.4,91.2,1.4,24,666.0,20.2,285.8,30.6,8.8
0.1,0.0,2.5,0,0.5,6.6,95.6,2.8,3,193.0,17.8,396.9,5.7,32.5
0.1,0.0,13.9,0,0.4,6.5,51.0,6.0,4,289.0,16.0,392.9,7.4,27.1
0.1,0.0,8.6,0,0.5,6.8,71.3,2.9,5,384.0,20.9,395.6,7.7,26.5
0.0,90.0,2.0,0,0.4,6.7,36.1,12.1,5,187.0,17.0,384.5,4.5,30.1
0.0,25.0,4.9,0,0.4,6.2,46.7,5.4,4,281.0,19.0,390.6,7.5,22.9
14.2,0.0,18.1,0,0.7,6.3,100.0,1.6,24,666.0,20.2,396.9,20.3,7.2
0.1,0.0,2.9,0,0.4,8.1,76.0,3.5,2,276.0,18.0,396.9,4.2,38.7
13.4,0.0,18.1,0,0.7,5.9,94.7,1.8,24,666.0,20.2,396.9,16.4,12.7
0.0,82.5,2.0,0,0.4,7.6,15.7,6.3,2,348.0,14.7,395.4,3.1,42.3
0.3,0.0,6.2,0,0.5,7.7,17.0,3.4,8,307.0,17.4,377.5,3.9,46.7
0.3,0.0,7.4,0,0.5,6.3,28.9,5.4,5,287.0,19.6,396.9,6.2,23.0
0.0,34.0,6.1,0,0.4,6.6,40.4,5.5,7,329.0,16.1,395.8,9.5,22.0
11.2,0.0,18.1,0,0.7,6.6,94.6,2.1,24,666.0,20.2,109.8,23.3,13.4
0.3,0.0,9.9,0,0.5,5.9,83.2,4.0,4,304.0,18.4,390.7,18.3,17.8
5.7,0.0,18.1,0,0.7,6.2,100.0,2.0,24,666.0,20.2,395.7,16.6,18.4
0.0,80.0,1.5,0,0.4,7.3,34.1,7.3,2,329.0,12.6,396.9,4.1,33.3
13.9,0.0,18.1,0,0.7,6.2,95.0,2.2,24,666.0,20.2,100.6,15.2,11.7
0.1,25.0,5.1,0,0.5,5.9,47.2,6.9,8,284.0,19.7,396.9,9.2,19.6
1.1,0.0,19.6,1,0.9,5.0,88.0,1.6,5,403.0,14.7,343.3,12.1,15.3
