score,text,idx,user,written_at,agree,disagree
8,저는 개인적으로는 영화의 배경이나 배우들의 연기는너무나 잘 했다고 생각하지만 내용이 확실히 전달되지는못했다고 생각해요.그치만 전반적으로는 가벼운 마음으로 보긴 좋은 영화라고생각합니다^^,12181843,일랑일랑(dmsl****),2017.01.15 20:52,0,1
10,그냥 좋죠. 객관적 10점은 아니고 주관적 10점이요.,12181859,마음(0104****),2017.01.15 20:54,0,2
1,생각보다 너무 별로....전개가....,12181865,순대킬러(wsc1****),2017.01.15 20:56,63,30
10,감동!! 시간가는 줄 모르고 봤어요,12181870,yoshimi(yosh****),2017.01.15 20:56,0,2
10,재밌어요~~~~정말정말정말라라랜드,12181902,박세준(dkat****),2017.01.15 21:02,0,2
9,영상미가 좋았고 1점은 뭔가 남편이 마음에 안들었어오 끝장면에,12181922,표기윤(exce****),2017.01.15 21:07,0,0
2,제 옆분이 졸아서 평줌 낮춥니다,12181935,파란소나기(pref****),2017.01.15 21:08,1,0
10,정말 괜찮았습니다 ㅋ 결말도 나쁘지않았어요,12181964,choi(dmsd****),2017.01.15 21:13,0,2
10,너무 재밌었으며 ost를 들으면 행복해지는 기분이 든다.,12181971,jay9****,2017.01.15 21:14,0,2
9,제 인생영화.. 마지막에 다시 돌아갈때는 소름이..,12182025,박건(pg07****),2017.01.15 21:23,1,1
9,"정말 신선하고, 영화 색감이 너무 예뻤어요. 또 목표로 하는 꿈에 대해 다시한번 자극을 받을 수있는 계기가 됐네요.. 하 인생영화 하나 추가하고 갑니다",12182031,sonc****,2017.01.15 21:24,0,1
10,아름다웠고 뭔가 그리워지는 영화,12182046,0000(fofo****),2017.01.15 21:27,0,2
10,OST도 너무 좋고 영화 다 너무 좋았어요!,12182049,dara(blai****),2017.01.15 21:27,0,2
5,영화음악과 배경만 멋있는 영화,12182063,rudd****,2017.01.15 21:30,1,0
8,굿굿ㅎㄴ디지ㅎㄱㄷㄴ?,12182074,열심히합세(zotv****),2017.01.15 21:31,0,0
6,ddd쟈밌습니다bbvbn,12182080,팬더(cogy****),2017.01.15 21:32,0,1
8,"여러번 생각할만한 여지를 줘서 좋은 영화. 노래의 가사들, 감정의 깊이들, 무엇이 필연이었는지, 어떻게 이 모든 환상과 현실이 논리적으로 일관성있게 이어지는지 두고두고 해석하며 느끼는 재미가 있다.",12182081,도야지(sand****),2017.01.15 21:32,1,1
10,오랜만에 편안하게 아름다운 영화 한편 본것같습니다~한번 더 보고싶네요~^^,12182082,아이리스(oo81****),2017.01.15 21:33,0,2
6,"내가 아직 꿈에 대한 열정도 없고 낭만도 없는 청소년이라 그런가, 크게 와닿지는 않았던 것 같다. 하지만 영화보는 내내, 영화 내용이 너무 현실적이라(내 딴에선) 어른이 되기 무섭다라는 생각이 들었다.",12182098,장소은(sayh****),2017.01.15 21:36,0,0
10,숨도 못쉬고 봤어요.. 짱.. :-D,12182146,etc99(etc-****),2017.01.15 21:41,0,1
6,이 좋은 배우들을 가지고 이렇게 진부한 스토리의 작품을 만들다니,12182152,제니(wjda****),2017.01.15 21:42,1,0
10,명작~ 입니다. 추천합니다.,12182162,제이제이(neoc****),2017.01.15 21:43,0,1
9,주인공도 멋지고 그림도 멋지네 뭔가 여운이남는,12182175,어쩌라고(mind****),2017.01.15 21:45,0,0
10,연출 효과 음향 모두 다 좋았습니다 ㅎㅎ,12182177,qbqb****,2017.01.15 21:46,1,1
10,말로 표현할 수 없는 아련함,12182193,thdw****,2017.01.15 21:48,0,1
9,걍말이필요없다굿이란다,12182198,루피(xx41****),2017.01.15 21:48,0,0
10,"개돼지처럼 검사,조폭영화 그만봐줍시다 제발 이런영화좀 만들어주세요ㅠ",12182199,초고속후회(dubu****),2017.01.15 21:48,0,1
8,기대했던것 보다는~조금 아쉬웠어요,12182213,goym****,2017.01.15 21:51,0,1
10,사랑스러움이 가득묻어나는 영화,12182214,신명(leen****),2017.01.15 21:51,0,1
9,"예술을 하는 입장으로 꿈과 희망,사랑에 대한 공감이 많이갔다",12182256,vldz****,2017.01.15 21:56,0,1
10,영화관 자주 안 가는 내가 또 보러 가고 싶은 그런 영화.,12182261,pje(gers****),2017.01.15 21:57,0,2
10,재미있어요. 색감이 너무좋네요,12182278,박감마(wjdf****),2017.01.15 22:00,0,2
10,앞으로 열번을 더 봐도 열번 다 새롭고 아름다울 영화모든것이 완벽하다,12182311,밀(tanu****),2017.01.15 22:06,0,2
9,현실적으로 이상을 그린 영화,12182342,HS(bhs9****),2017.01.15 22:12,0,1
10,노래가 정말 최고! 다시 재즈를 듣고 싶게 만드는 영화,12182388,진(zhao****),2017.01.15 22:22,0,2
10,뮤지컬형식의 로맨틱코메디영화 가슴찌릿찌릿 하고 재밌는데 영화의 스토리가 좀 슬프게 결말난거 같아 그렇다 ㅠㅜ,12182391,gura****,2017.01.15 22:22,0,2
10,스토리 구성에는 빈약함이 있지만 보는내내 귀와 눈이 즐거운 영화! 한 편의 뮤지컬을 영화관에서 관람할 수 있는 기회라고 생각합니다,12182393,한판놀이(davi****),2017.01.15 22:23,0,2
7,걍 볼만 함주인공  몸매 짱,12182439,yoyo(yo28****),2017.01.15 22:31,0,0
10,음악도 화면도 스토리도 너무 이쁜 영화입니다~~,12182463,청풍명월(naro****),2017.01.15 22:35,0,1
10,넘 환상적이며 꿈 같은 영화였음꿈을 이루는 내용이 좋았음,12182497,이명옥(llee****),2017.01.15 22:41,1,1
10,넘넘넘넘재밌었당ㅎㅅㅎ,12182531,서랏장(seor****),2017.01.15 22:47,1,1
10,마지막 키스하는 부분에서 헉 소리가 튀어나왔다.,12182536,미운오리(ugly****),2017.01.15 22:47,2,1
8,재미있게 봤는데 좀 씁쓸하네요. 아무튼 추천하고 싶은 영화였어요.,12182544,문페이즈(dltl****),2017.01.15 22:49,1,0
10,너무 잘 봤어요 영화가 아니라 뮤지컬 본 거같고... 개인적으로 첫 부분 사람들이 차 위에 올라가서 춤추는 부분이 제일 좋네요! 꼭 보세요 여러분,12182633,기요미(sssa****),2017.01.15 23:02,0,1
10,슬퍼서가 아니라 가슴이 아려서 눈물이 났어요,12182676,ljh9****,2017.01.15 23:09,0,1
10,그때 다른 선택과 행동을 했다면 어땠을까 한번쯤 돌아보게 되는 아름다운 영화,12182677,miya****,2017.01.15 23:09,0,1
9,"결말에서 조금 놀랐지만, 전체적으로 재밌게 봤어요~영화 OST가 정말 좋아요~",12182681,Cantabile(yk_c****),2017.01.15 23:09,0,0
10,연기며 스토리며 영상이며 배경음악이며 어느것 하나 빠진게 없습니다 계속 계속 생각납니다,12182692,안뽕슬구(seul****),2017.01.15 23:10,0,1
10,빠져드는 영화네요~ 인생영화,12182730,엘리자베스(tkwc****),2017.01.15 23:15,0,1
1,1점도 아깝다 시작하자마자 고속도로에서 OO하는거부터 노잼이라생각하고 30분보자마자 집가고싶어서안달낫음 엄마생신이라 가족끼리단체로보러갓는데 다들졸려죽을라고함 돈주고보기아까움 영상미좋다는거 몇분나옴ㅋㅋㅋㅋ 나올락말락하...,12182734,벚꽃엔딩S2(bon3****),2017.01.15 23:16,32,8
8,볼만하네요 음악이 좋습니다,12182769,ms53****,2017.01.15 23:20,0,0
10,음악 여운 추억 아련함.. 남는 게 많아서 계속 보고 싶은 영화.,12182773,leuk****,2017.01.15 23:21,0,1
9,뮤지컬같은 영화 잼있게 봤어요ㅎㅎ,12182778,sodo****,2017.01.15 23:21,0,0
8,"꿈, 이상, 낭만, 이런 것들은 현실 속에 존재하는데 우리가 그것을 못 느끼고 사는 게 아닐까.",12182794,니야맛(phee****),2017.01.15 23:23,0,0
9,재밌는 영화였다  감동도 있고,12182809,dlrg****,2017.01.15 23:27,0,0
9,영상미와 연출이 너무 좋았어요 푹 빠져들어서 재미있게 잘 봤어요,12182846,k286****,2017.01.15 23:33,0,0
1,여자친구랑  모아나 안보고 이거 보자고 봤는데  처음에  도로에서 춤추는거 보고 잘못들어왔나 싶었고  갑자기 왜 우주배경으로  넘어가나 싶었네요.... 마지막에 연주는 괜찮았는데 끝나고 제가 여자친구에게 안 괜찮은 ...,12182894,Yossarian(jsfh****),2017.01.15 23:41,19,8
8,끝까지 사랑이잘이어졌으면 하고 바랬는데 ㅜㅜ 남주 너무멋있네용.진짜,12182911,jeff****,2017.01.15 23:44,0,0
10,중간에 약간 지루했던것만 빼면 정말 최고에요 마지막은 진짜... 하.. 정말 먹먹했고 둘이 우주를 날아서 춤추는 장면은 그 둘의 설레임같은게 느껴져서 너무 좋았음 아무튼 진짜 초초초강추임,12182920,love****,2017.01.15 23:45,0,1
9,노래와 춤 다 재밋게수봣어요!!아련한 감정선이 노래에 참 잘 맞는거같어요!,12182964,rhkr****,2017.01.15 23:56,0,0
9,이런게 영화고 이런 영화가 상을 받아야 하고 이런 영화가 10억불을 벌어야 한다. 특정 장르 영화를 좋아하든 안하든 아니 영화를 좋아하든 안하든 무조건 추천할만한 영화,12183061,히알(solo****),2017.01.16 00:16,0,0
8,"감독의 연출력에 감탄, 특히 오프닝과 탭댄스씬은 잊을 수가 없다",12183123,꼬마라잇(ligh****),2017.01.16 00:27,0,0
3,개취노잼그다지 재미없었음,12183130,쑤그리형(habu****),2017.01.16 00:29,1,0
9,귀가 행복하고 눈이 행복하고 어깨가 들썩이고,12183134,디밥(kind****),2017.01.16 00:30,1,0
1,내스타일은 아니다 솔직히 이거10점주고 제밌다는 사람들 나와는너무다른사람들같음 어떻게 이정도로 호불호가갈릴까..정말 난 제미없었음 보다가잠들다 마지막에 욕하고나옴,12183141,tore****,2017.01.16 00:30,20,7
1,너무너무너무 지루했던 영화,12183163,LIFE IS GAME(napp****),2017.01.16 00:34,20,7
10,인생영화ㅜ 두번째 봤을 때도 울었다,12183171,dkdlel(dkdl****),2017.01.16 00:36,0,1
3,보자마자 아..! 이건 진짜 호불호갈리겠다...했던 영화였는데 역시나..ㅋㅋ 하이스쿨뮤지컬을 보게될줄은 몰랐고 노래만 좋고 내용은 지루했던 영화.,12183299,수호신(msr0****),2017.01.16 01:06,0,0
10,세번째 보았습니다 봐도봐도 너무 좋네요ㅠㅠ,12183301,kyje****,2017.01.16 01:07,1,0
10,끝이 좀 슬펐지만 꿈에 대해서 고민 하는 모습이 좋았어요,12183311,Ri(ohl3****),2017.01.16 01:09,0,0
1,실망 그자체 왜 평점이 높은지 솔직히 결말도 실망이고 0점 주고 싶네요 여자친구도 너무 재미 없다고 하네요.,12183327,원더풀베리(sh49****),2017.01.16 01:14,51,22
10,두번째 관람이었는데 그 때보다 더 울었어요OST만 들어도 가슴 뭉클해지는 명작!!,12183333,김밤비(ueda****),2017.01.16 01:15,1,0
8,너무 좋다고 많이 들어서 그랬는지 기대보다는 이하였습니다.,12183334,Okiii(leeo****),2017.01.16 01:16,1,0
10,잠깐동안 연기의 꿈을 꾼 나로서 오디션 장면에서 눈물이 나온건 어쩔 수 없었다 그때 열정을 다시금 느끼게 해준 내 추억같은 영화,12183349,둥이(kkdm****),2017.01.16 01:20,0,0
10,화려했던 초라했던 누구에게나 한번은 있었을 법한 이별에 대해 회상의 시간을 주는 영화였네요. 슬프지만 최선의 선택이었으리라 끄덕끄덕해보게되는 영화,12183354,isin****,2017.01.16 01:21,0,0
10,핵꿀잼 특히 엔딩이 젤 맘에 들었음/.,12183378,heih****,2017.01.16 01:31,0,0
9,전체적으로 음악이 좋았던 영화다. 아름다웠던 날에 누구나 있을 수 있는 이야기다. 결말이 아쉽긴 하지만 이런 이야기에 항상 해피 엔딩일 수는 없다고 생각한다. 그냥 내가 여주인공이라면.. 했을 텐데 라는 생각을 해 ...,12183403,봄비(01fl****),2017.01.16 01:36,2,0
10,다시 보고싶어지는 영화,12183424,jhc0****,2017.01.16 01:42,1,0
6,재즈학개론 열자열자열자,12183435,jin8****,2017.01.16 01:46,0,0
10,"개봉  끝물에 보게 되었는데,  왜 이제서야 봤는지..  이제서라도 보길 잘한거같아요. ㅠㅠ  정말좋은 영화.",12183437,포롯데(forl****),2017.01.16 01:48,0,0
10,시간가는줄 모르고 봤다,12183455,서명환(sehw****),2017.01.16 01:53,1,0
10,결말이 너무 뭉클하고 좋았던것같다... 중간까지는 지루했지만 끝으로 갈수록 감동이 아주ㅠㅠ 가슴 먹먹해지는 영화 다시보고싶다,12183477,혜인(rach****),2017.01.16 02:04,0,0
1,참나  알바가 왜이리많은지! 진짜 오버에 자다나 나옴!메세지도 하나도없음 다신안봄!,12183483,김희영(rlag****),2017.01.16 02:04,16,8
8,생각했던것보다 영화가 슬프고 감동적이었다.,12183507,lipt****,2017.01.16 02:12,1,0
8,기대만큼 재밌지는 않았다.,12183540,물방울(gksr****),2017.01.16 02:31,0,0
10,최고의영화..엠마스톤과 라이언고슬링의 노래를 들으며 꿈에대해서 다시한번 생각해볼수있는 영화,12183656,정철화(craz****),2017.01.16 03:42,1,0
8,아주 즐겁게 봤습니다. 그런데 여친은 별로라네요 .,12183659,Allclef(tpty****),2017.01.16 03:45,0,0
10,"1차관람시 엔딩에는 라이언의 '짠한' 미소만 보였다. 하지만 2차관람시에는 라이언의 만족스러운,자랑스러워하는(자신도,엠마도) 미소가 보였고 엠마의 동일한 미소도 보였다. 여러 차례 관람해도 아쉬울게 없...",12183687,jskh****,2017.01.16 04:18,0,0
10,영화가 끝났는데 안끝난 것 같은 기분이 들게 한다.,12183697,스무스(soeu****),2017.01.16 04:29,0,0
9,정답은 없고 경우의수만 많은 힘든여정 이들의열정은 누구나 칭송하지만 그 결과까지는 책임지지않는다는 사실을 아프게 깨닫는 연인....,12183733,jsy8****,2017.01.16 05:24,2,0
6,노래 몇개 좋은거 말고는 딱히 재미는 없었다. 그냥 뮤지컬로 보는게 나을듯,12183817,풀잎나무(kim6****),2017.01.16 07:18,0,0
10,너무 좋은 음악과 뛰어난 영상미~ 재밌었어요,12183881,루시엘(luci****),2017.01.16 08:25,1,0
7,영화가 너무나 아름답고 감성적이나 지루한감있습니다,12183883,그니(dksu****),2017.01.16 08:27,0,1
10,"이 영화가  지루하고, 본 후에 아무생각이 안든다면그 사람들이 감정이 얼마나 메마른걸지 상상도 안 된다... 개인적으로는 정신적으로 매우 피폐해져있을 것 같다... 거짓말아니라 감정없는 로봇도 이 영화를 보게되면 인...",12183897,kwon****,2017.01.16 08:34,1,0
10,자칫 불편했을 갈등의 내용을 보는이의 내면으로 부드럽게 넘길 수 있는 연출로 잘 마무리한 영화.,12183908,sssh****,2017.01.16 08:41,1,0
8,기대한것만큼은 아니었지만 볼만했습니다.,12183952,ksy8****,2017.01.16 09:02,1,1
8,재밌게 잘보다가 마지막에 엉뚱한사람이랑 만나서 결혼해서 허무했음,12183956,라벤더향기(zr10****),2017.01.16 09:04,1,1
10,영상미 음악 스토리 뭐하나 빠진것 없는 영화 보는내내 행복했다,12184062,bnmm****,2017.01.16 09:57,0,0
10,"""이곳에서 모든 감정들이 폭발한다.""",12184070,sore(sok9****),2017.01.16 10:03,1,0
9,연주가 멋졌어요 ^^ 여자가 속됐어요,12184187,yong****,2017.01.16 10:49,1,0
9,"영상도 좋았고 음악도 좋았다. 스토리도 좋았다. 엠마 스톤이 선택한 삶과 라이언 고슬링이 선택한 삶의 차이는 좀 의문이었지만- 그래서 9점!판타지가 적절히 섞여 있는 것도, 드라마틱한 두 사람의 세계도, 특히 라이언...",12184192,행복함(coco****),2017.01.16 10:50,1,0
9,고슬링이랑 스톤이랑 안이어져서 9점  마지막 피아노 장면에서는 박진영의 니가 사는 그집 이 생각났다,12184195,도깨비(cold****),2017.01.16 10:51,0,0
10,사랑에 대한 미련이나 여운보다 꿈에 대한 여운이 남는 작품이었습니다,12184240,으아아앙(luci****),2017.01.16 11:14,1,0
9,너무 현실적인 이야기...,12184249,tpgm****,2017.01.16 11:17,1,0
10,꿈 성장 사랑 이별 현실... 장면 장면마다 내가 살아온 지난날들을 돌아보게 한 영화,12184258,장현아(hyun****),2017.01.16 11:19,0,0
3,스토리는 현실적이여서 좋았는데.. 뮤지컬 적인 요소를 개인적으로 굉장히 안좋아 해서 별로인 영화,12184290,카라멜님(cara****),2017.01.16 11:30,0,0
9,스토리는 무난했지만 연출과 구성이 신선합니다. 두 남녀가 서로 교감하는 장면들이 인상깊네요,12184328,소이티(twen****),2017.01.16 11:47,0,0
8,음악으로 말하려고 했던 영화 그렇게 화려하지 않고 자극적이지 않아서 좋은 영화  가능한 자막을 보지 않는 것이 좋을 듯,12184349,지호락야(stma****),2017.01.16 11:56,1,0
10,지쳤던 마음에 힐링이 되어준 영화!다시 꿈을 위해 나아갈 힘이 되어준 영화!,12184372,rudw****,2017.01.16 12:07,1,0
8,"영상미가 있고, 음악이 매우 좋다. 전반적인 색감이 예쁘다. 스토리 전개가 조금 아쉽고, 뮤지컬 영화치고는 노래를 엄청 잘부르는것 같지는 않다",12184475,신은주(sej9****),2017.01.16 12:38,2,0
6,중간중간 배우가 부르는 노래에 인상을 별로 받지 못했지만 전체적인 내용은 재미있었고 긴 여운을 남겨주었다. 배우들이 멋졌다,12184486,ys(ysys****),2017.01.16 12:42,1,1
7,기억과 망상마르 뎃데로게,12184491,Thor(bloo****),2017.01.16 12:43,1,0
10,오랜만에 가슴가득 행복감을 느낄수 있는 영화를 만났다..뻔한 듯 뻔하지 않은 결말이 아니어서 좋았고.. 역시 음악은 사람을 행복하게 하는 힘이 있음을 실감했다.,12184512,sees****,2017.01.16 12:49,2,0
9,초반 뮤지컬적인 부분만 넘기면 최고의 영화,12184522,nice****,2017.01.16 12:51,1,0
10,감동적이였어요 좋습니다,12184539,전혜정(hele****),2017.01.16 12:55,1,0
7,처음 시작할때의 음악과 생동 감 넘치는 배우들의 한동작 한동작 마치 하나같이 움직이는 예술였습니다그리고 마지막에 긴 여운을 잊을 수가 없네요반전의 반전였길 바라는 맘은 제 맘이였습니다 해피엔딩였음하는 ㅎㅎ 잘 봤습니...,12184555,김유랑(ssam****),2017.01.16 12:59,1,0
9,좋았어요 단순한 로맨스넘어 꿈과열정 사이에 고민하고 성취하는 젊은 시간이 느껴져서 감동적이었어요음악도 좋았고요,12184561,나긋나긋나금(hsoo****),2017.01.16 13:00,1,0
10,보는 내내 스크린에서 눈을 뗄 수 없었고 영화가 끝난 후에도 자리에서 한참을 일어나지 못했다,12184588,우주최강(es11****),2017.01.16 13:08,1,0
10,재밌다 음악도 좋고 배우도 이쁘고 영상미 색감도 좋다,12184596,kgs8****,2017.01.16 13:10,1,0
10,이영화는 최고 그 이상이다. 최근5년간 본 영화중에 최고다. 감사하고 고맙다.. 라라랜드. 와~우,12184649,밸런소(jdso****),2017.01.16 13:30,0,0
9,세상의 모든 꿈꾸는 바보들에 바침!아름답고 뜨거운 영화.,12184742,jusa****,2017.01.16 14:01,1,0
7,잔잔하게 슬픈 영화네요,12184751,레인(shad****),2017.01.16 14:05,1,0
10,너무 좋았어요. 화려한입체감과 스토리가 굿,12184752,tner****,2017.01.16 14:05,1,0
8,좀 길긴하지만 즐긴만합니다,12184829,아트비젼(tuji****),2017.01.16 14:24,1,0
8,여자 아무리생각해도 못된년ㅋㅋㅋㅋ,12184847,왓더혤마이니(pavi****),2017.01.16 14:29,0,1
8,아름답지만 조금 뻐?난 이야기가 지루했다,12184899,하늘 어머니와 함께(syyo****),2017.01.16 14:45,0,0
9,꽤나 기나긴 여운을 느낄 수 있었다. 혼자보지 않고 누군가랑 같이 보았다는게 다행이었음,12184904,포스그립(kang****),2017.01.16 14:46,1,0
10,개꿀잼...긴 러닝타임이 전혀 지루하지 않은 영화,12184920,제로(zmff****),2017.01.16 14:50,1,0
7,뻔한 스토리처럼 시작하지만 후반부로 갈수록 인생을 생각하게하고 마지막이 정말 특별함을 더하는 영화. 우리 인생 하나 하나가 다 드라마하는 생각으르하게 해주는 영화.,12184953,현(hjoo****),2017.01.16 14:59,2,0
10,반전의  엔딩 스토리가 너무 현실적이어서마음에 와 닿앗으며 감동적이엇어요?,12184990,노란목련(happ****),2017.01.16 15:10,1,0
8,생각보다는별로네요 너무기대를했나봐요,12185012,나혜경(tena****),2017.01.16 15:16,0,1
10,최고인영화. 세번영화관가서 봤네요. 잊을수없는 영화,12185049,qkr3****,2017.01.16 15:24,1,0
10,"음악좋고, 영상좋고 뭔가 애틋하면서도 절제된 영화였어요. 정말 스토리도 좋았네요. 남성분들도 좋아할만한 영화에요. 여성전용 영화아님 ㅎ",12185050,감성사진(vern****),2017.01.16 15:24,1,0
10,뮤지컬같아서 너무 보기 좋았어요!,12185072,별님(ydg0****),2017.01.16 15:31,1,0
10,넘 좋아요!!! OST 사러갑니당!!,12185073,히로미(ham5****),2017.01.16 15:31,1,0
10,2016년 영화중 최고,12185110,며르치(ging****),2017.01.16 15:42,0,0
8,이해보다는 그냥 오감으로 느끼는 영화 ! 그것만으로 충분함.,12185129,yeyehanhan(newh****),2017.01.16 15:47,0,0
10,동화같은 사랑을 현실에 잘 녹여낸 영화다.,12185130,김민영(mean****),2017.01.16 15:47,1,0
5,볼만하긴한데.. 너무 쫌 지루함이 있어서 그렇게 재미있지는 않았음,12185145,dlae****,2017.01.16 15:51,0,0
10,뮤지컬이라 기대 안했지만 좋아요,12185156,화신(frid****),2017.01.16 15:57,1,0
10,너무감동적이네요..두번볼꺼에요,12185196,daa212(daa1****),2017.01.16 16:08,1,0
